,City Name,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temp,Wind Speed
32,Upernavik,50,GL,84,72.79,-56.15,273.987,3.36
33,Hobart,75,AU,58,-42.88,147.33,288.71,5.1
34,Baykit,66,RU,40,61.68,96.39,296.397,2.3
35,Dikson,91,RU,96,73.51,80.55,274.247,2.4
36,Cherskiy,100,RU,82,68.75,161.3,282.707,5.22
37,Ribeira Grande,50,PT,72,38.52,-28.7,291.017,5.42
38,Mataura,10,NZ,77,-46.19,168.86,284.26,1.34
39,Maragogi,3,BR,91,-9.01,-35.22,294.147,1.96
40,Nikolskoye,90,RU,93,59.7,30.79,286.48,5.0
41,Vaini,75,IN,100,15.34,74.49,294.15,2.6
42,Sao Joao da Barra,78,BR,91,-21.64,-41.05,293.777,1.19
43,Punta Arenas,0,CL,79,-53.16,-70.91,270.15,5.1
44,Luderitz,0,NA,93,-26.65,15.16,282.15,1.0
45,Liberia,75,CR,74,10.63,-85.44,300.15,4.1
46,Batemans Bay,15,AU,65,-35.71,150.18,289.82,1.34
47,Kharp,72,RU,78,66.82,65.8,281.137,0.99
48,Port Lincoln,89,AU,64,-34.72,135.86,289.757,12.72
49,Hay River,40,CA,41,60.82,-115.79,288.15,4.1
50,Shingu,75,JP,88,33.72,135.99,298.15,1.5
51,Nanortalik,98,GL,98,60.14,-45.24,276.337,1.48
52,Jamestown,0,AU,60,-33.21,138.6,289.727,7.41
53,Kibre Mengist,96,ET,99,5.87,38.99,286.067,0.91
54,Waipawa,0,NZ,85,-39.94,176.59,281.48,0.47
55,Puerto Ayora,0,EC,69,-0.74,-90.35,298.15,6.2
56,Yellowknife,40,CA,29,62.45,-114.38,290.15,2.6
57,Healesville,20,AU,58,-37.65,145.52,290.37,10.3
58,Grindavik,90,IS,100,63.84,-22.43,285.15,7.7
59,Albany,1,US,56,42.65,-73.75,299.15,2.1
60,Ostrovnoy,100,RU,97,68.05,39.51,277.267,8.36
61,Wiang Sa,20,TH,94,8.64,99.37,301.48,2.1
62,Busselton,7,AU,98,-33.64,115.35,280.37,9.91
63,Cabo San Lucas,75,MX,52,22.89,-109.91,308.71,8.7
64,Pevek,100,RU,96,69.7,170.27,274.647,5.28
65,Saint Anthony,40,US,24,43.97,-111.68,299.15,2.6
66,Sao Gabriel da Cachoeira,8,BR,83,-0.13,-67.09,298.017,0.72
67,Pitimbu,20,BR,88,-7.47,-34.81,296.15,1.5
68,Qaqortoq,62,GL,70,60.72,-46.03,282.15,2.6
69,Sai Buri,0,TH,100,6.7,101.62,297.15,2.1
70,Linares,100,CL,82,-35.85,-71.6,283.957,7.6
71,San Carlos de Bariloche,90,AR,93,-41.13,-71.31,275.15,4.6
72,Goderich,0,CA,59,43.74,-81.71,297.59,2.24
73,Inuvik,40,CA,36,68.36,-133.71,290.15,1.5
74,Bluff,46,AU,66,-23.58,149.07,292.287,10.06
75,Leningradskiy,93,RU,91,69.38,178.42,276.427,2.57
76,Chuy,49,UY,70,-33.69,-53.46,284.217,4.99
77,Qaanaaq,18,GL,51,77.48,-69.36,279.407,1.62
78,Kodiak,1,US,40,39.95,-94.76,303.15,3.6
79,Souillac,0,FR,74,45.6,-0.6,299.15,1.5
80,Erenhot,0,CN,32,43.65,111.97,292.777,8.71
81,Katsuura,75,JP,88,33.93,134.5,300.93,3.1
82,Port-Gentil,1,GA,82,-0.72,8.78,297.307,6.52
83,Hobyo,77,SO,75,5.35,48.53,297.507,10.08
84,Marzuq,62,YE,33,14.4,46.47,299.817,1.94
85,Kavieng,100,PG,77,-2.57,150.8,302.267,6.62
86,Hilo,90,US,69,19.71,-155.08,303.15,4.1
87,Lamar,1,US,24,38.09,-102.62,305.15,13.9
88,Bathsheba,40,BB,74,13.22,-59.52,301.15,10.3
89,Cape Town,75,ZA,93,-33.93,18.42,286.48,6.7
90,Tocopilla,52,CL,79,-22.09,-70.2,287.927,2.26
91,Cherepovets,100,RU,87,59.13,37.92,283.297,2.29
92,Cuauhtemoc,57,MX,16,28.72,-111.63,312.04,3.58
93,Half Moon Bay,75,US,52,37.46,-122.43,295.15,7.2
94,Codrington,75,AU,82,-28.95,153.24,291.15,2.6
95,Iwaki,75,JP,83,37.05,140.89,297.15,1.0
96,Thompson,75,CA,37,55.74,-97.86,294.15,2.1
97,Orbetello,0,IT,83,42.44,11.21,298.15,2.1
98,Gazanjyk,29,TM,30,39.24,55.52,303.957,2.98
99,Lac du Bonnet,17,CA,29,50.25,-96.06,298.71,2.54
100,Bilma,66,NE,14,18.69,12.92,305.967,3.61
101,Beloha,26,MG,90,-25.17,45.06,292.207,4.14
102,Itarema,4,BR,84,-2.92,-39.92,297.887,3.12
103,Ponta Delgada,20,PT,77,37.73,-25.67,290.15,0.5
104,Rincon,20,PA,83,8.46,-82.28,301.15,3.1
105,La Ronge,40,CA,56,55.1,-105.3,293.15,2.1
106,Nagato,75,JP,83,34.35,131.14,299.82,3.6
107,Talara,0,PE,90,-4.58,-81.27,292.157,8.37
108,Lokosovo,100,RU,92,61.13,74.84,281.117,6.41
109,Tuktoyaktuk,75,CA,70,69.44,-133.03,281.15,5.1
110,Dingle,95,PH,88,11.0,122.67,298.247,3.52
111,Chokurdakh,0,RU,38,70.62,147.9,288.787,4.98
112,Port Elizabeth,1,US,45,39.31,-74.98,303.15,2.63
113,Jalu,0,LY,43,29.03,21.55,300.957,4.2
114,Camopi,100,GF,97,3.17,-52.33,295.817,1.61
115,Arona,0,IT,61,45.76,8.56,304.26,4.6
116,Lavrentiya,100,RU,94,65.58,-170.99,282.327,3.05
117,Menongue,0,AO,48,-14.66,17.68,285.197,2.14
118,Oksfjord,100,NO,86,70.24,22.35,280.15,14.9
119,Acapulco,75,MX,74,16.86,-99.88,303.15,4.1
120,Arraial do Cabo,29,BR,88,-22.97,-42.02,295.837,2.62
121,Bilibino,100,RU,85,68.06,166.44,280.277,1.37
122,Dzhebariki-Khaya,10,RU,25,62.22,135.8,298.107,3.05
123,Tiksi,88,RU,73,71.64,128.87,280.547,5.28
124,Kamenka,67,MD,79,48.03,28.7,289.26,4.27
125,Kapaa,90,US,83,22.08,-159.32,300.15,3.6
126,Gandhidham,73,IN,75,23.07,70.13,302.217,8.63
127,Esperance,40,AU,93,-33.86,121.89,280.15,5.7
128,Gornopravdinsk,99,RU,71,60.06,69.92,282.957,1.6
129,Arinos,0,BR,60,-15.92,-46.11,291.637,2.02
130,Santa Maria,0,BR,60,-16.02,-48.01,293.15,2.1
131,Vila Velha,75,BR,78,-3.71,-38.6,300.15,5.7
132,Tasiilaq,100,GL,93,65.61,-37.64,279.15,2.6
133,Lagoa,0,PT,52,37.14,-8.45,294.15,3.1
134,Constitucion,75,MX,18,23.99,-104.67,302.15,5.1
135,Taveta,10,TZ,84,-3.4,37.68,290.517,2.36
136,Vestmanna,100,FO,100,62.16,-7.17,283.15,3.6
137,Garowe,42,SO,59,8.41,48.48,298.277,12.1
138,Port Alfred,0,ZA,32,-33.59,26.89,292.04,1.34
139,Rosetown,86,CA,75,51.55,-107.99,291.48,2.24
140,Khorixas,22,NA,94,-20.37,14.96,282.327,1.11
141,Boende,100,CD,91,-0.28,20.88,293.737,1.06
142,Bredasdorp,34,ZA,76,-34.53,20.04,286.15,7.7
143,Nyimba,39,ZM,71,-14.56,30.81,287.047,0.75
144,Devils Lake,1,US,47,48.11,-98.87,299.15,4.1
145,Asmar,0,AF,34,35.03,71.36,287.887,4.42
146,Mitsamiouli,30,KM,81,-11.38,43.28,298.277,9.51
147,Petropavlovsk-Kamchatskiy,40,RU,58,53.05,158.65,288.15,3.0
148,Kavaratti,45,IN,75,10.57,72.64,301.547,7.19
149,Lompoc,1,US,52,34.64,-120.46,298.15,7.2
150,Freeport,75,BS,78,26.54,-78.7,301.15,3.1
151,Havoysund,100,NO,86,71.0,24.66,277.15,14.9
152,Severo-Kurilsk,100,RU,90,50.68,156.12,278.667,3.96
153,Lata,18,IN,77,30.78,78.62,274.617,1.19
154,Salalah,75,OM,88,17.01,54.1,300.15,4.6
155,Tuatapere,63,NZ,77,-46.13,167.69,284.26,1.34
156,Mehamn,96,NO,87,71.03,27.85,277.727,10.25
157,Houston,1,US,70,29.76,-95.37,303.15,2.55
158,Morrinhos,0,BR,52,-17.73,-49.11,295.237,2.49
159,Dabola,83,GN,94,10.74,-11.11,294.607,0.87
160,Guatire,40,VE,69,10.47,-66.54,299.15,1.5
161,Preobrazheniye,52,RU,68,42.9,133.91,288.517,1.68
162,Kargat,74,RU,93,55.19,80.28,282.877,5.03
163,Bethel,20,US,53,60.79,-161.76,296.15,3.51
164,Airai,0,TL,58,-8.93,125.41,295.757,1.44
165,Hithadhoo,100,MV,64,-0.6,73.08,302.357,1.8
166,Butaritari,0,KI,68,3.07,172.79,302.137,4.66
167,Kaitangata,54,NZ,56,-46.28,169.85,283.15,2.24
168,Sexsmith,75,CA,67,55.35,-118.78,290.15,4.6
169,Umm Lajj,0,SA,65,25.02,37.27,303.377,6.16
170,Obo,100,CF,97,5.39,26.49,292.447,3.33
171,Georgetown,75,GY,88,6.8,-58.16,299.15,5.1
172,Raudeberg,70,NO,81,61.99,5.14,283.15,1.5
173,Port Blair,75,IN,83,11.67,92.75,301.15,5.7
174,Lorengau,85,PG,81,-2.02,147.27,300.937,3.02
175,Srednekolymsk,99,RU,41,67.46,153.71,287.897,6.58
176,Mittersill,20,AT,53,47.28,12.48,296.15,2.1
177,Bumba,100,CD,94,2.18,22.47,293.447,1.39
178,Griffith,0,AU,67,-34.29,146.06,289.82,7.7
179,Cockburn Town,61,TC,80,21.46,-71.14,301.177,9.83
180,Kibala,71,TD,85,9.11,18.35,297.027,1.83
181,Torbay,90,CA,93,47.66,-52.73,283.71,1.0
182,Waddan,0,LY,46,29.16,16.14,300.167,6.95
183,Moron,100,HT,78,18.56,-74.26,300.707,1.31
184,Carutapera,46,BR,83,-1.2,-46.02,299.197,3.36
185,Temerloh,100,MY,93,3.45,102.42,296.437,0.43
186,Nome,1,US,78,30.04,-94.42,301.48,2.1
187,Anadyr,75,RU,76,64.73,177.51,284.15,7.0
188,Bogande,95,BF,37,12.97,-0.14,305.737,4.28
189,Portland,90,US,88,43.66,-70.25,294.26,2.1
190,Kuhdasht,0,IR,30,33.53,47.61,295.15,2.1
191,Kushiro,75,JP,93,43.11,144.15,284.15,3.6
192,Mazamari,78,PE,99,-11.33,-74.53,276.777,0.83
193,Pacific Grove,1,US,44,36.62,-121.92,297.15,3.1
194,Avera,1,US,54,33.19,-82.53,305.37,1.53
195,Carnarvon,0,ZA,27,-30.97,22.13,281.147,6.39
196,Awjilah,0,LY,54,29.14,21.3,299.697,5.49
197,Ust-Nera,50,RU,27,64.57,143.24,289.207,3.77
198,Ulladulla,20,AU,77,-35.36,150.48,288.15,2.6
199,Longyearbyen,90,NO,91,78.22,15.63,273.15,10.3
200,Caraballeda,40,VE,69,10.61,-66.85,299.15,1.5
201,Mar del Plata,7,AR,46,-46.43,-67.52,272.597,4.15
202,Novoagansk,100,RU,93,61.94,76.66,280.997,5.58
203,Chumikan,20,RU,43,54.72,135.31,293.767,3.34
204,Isangel,90,VU,94,-19.55,169.27,297.15,1.88
205,College,75,US,33,64.86,-147.8,299.15,0.84
206,Padang,60,ID,75,-0.92,100.36,301.037,2.42
207,Manisa,0,TR,44,38.62,27.43,300.15,6.2
208,Belfast,24,GB,77,54.6,-5.93,290.15,5.1
209,Arman,25,RU,45,59.7,150.17,290.927,2.16
210,Perevoz,100,RU,89,55.6,44.54,282.887,7.29
211,Severo-Yeniseyskiy,17,RU,51,60.37,93.04,295.707,0.85
212,Tibagi,60,BR,98,-24.52,-50.41,287.717,0.78
213,Ahipara,3,NZ,91,-35.17,173.16,292.04,5.22
214,Jardim,45,BR,85,-21.48,-56.15,292.667,2.88
215,Aden,63,YE,49,12.79,45.03,305.267,4.1
216,Vernon,90,CA,67,50.27,-119.27,291.48,2.1
217,Bulgan,100,MN,96,48.81,103.53,280.807,4.63
218,Banda Aceh,100,ID,78,5.56,95.32,301.757,8.17
219,Kiunga,100,PG,99,-6.12,141.3,296.237,1.78
220,Kaeo,36,NZ,91,-35.1,173.78,292.04,5.82
221,Taoudenni,15,ML,8,22.68,-3.98,307.937,2.58
222,Illapel,100,CL,80,-31.63,-71.17,283.357,1.08
223,Ancud,0,CL,80,-41.87,-73.83,275.15,3.6
224,Tessalit,0,ML,9,20.2,1.01,306.467,3.96
225,Gympie,29,AU,90,-26.2,152.66,289.26,2.24
226,Shaunavon,100,CA,69,49.65,-108.41,294.127,6.97
227,Berlevag,91,NO,88,70.86,29.09,278.547,10.37
228,Kupang,20,ID,54,-10.16,123.6,299.15,4.1
229,Luganville,100,VU,93,-15.51,167.18,296.947,1.4
230,Bunia,5,CD,97,1.56,30.25,290.137,0.62
231,Vestmannaeyjar,100,IS,97,63.44,-20.27,284.607,7.56
232,Sao Miguel,18,BR,97,4.52,-61.01,292.517,1.21
233,Komsomolskiy,90,RU,79,67.55,63.78,283.477,2.92
234,Kobelyaky,55,UA,94,49.15,34.2,289.997,5.36
235,Chapais,90,CA,68,49.78,-74.86,293.15,2.6
236,Davidson,92,CA,55,51.26,-105.98,295.37,3.58
237,Jijila,91,RO,73,45.31,28.15,295.37,7.2
238,Hofn,100,IS,94,64.25,-15.21,280.277,1.06
239,Pauini,80,BR,71,-7.71,-67.0,299.857,1.32
240,Guerrero Negro,2,MX,85,27.97,-114.04,291.107,7.78
241,Petatlan,75,MX,63,17.52,-101.27,306.15,2.6
242,Archidona,7,EC,93,-0.91,-77.81,289.637,1.48
243,Puerto Escondido,40,MX,74,15.86,-97.07,303.15,3.1
244,Umm Kaddadah,16,SD,34,13.6,26.69,305.247,4.97
245,Tahlequah,1,US,58,35.92,-94.97,304.15,2.6
246,Kurilsk,23,RU,82,45.23,147.88,282.337,0.71
247,Gebre Guracha,11,ET,84,9.8,38.4,290.957,0.72
248,Praia da Vitoria,40,PT,72,38.73,-27.07,291.15,6.26
249,Waingapu,0,ID,70,-9.65,120.26,294.367,4.61
250,Ixtapa,40,MX,43,20.71,-105.21,305.15,5.7
251,Tucurui,65,BR,72,-3.77,-49.67,297.607,0.97
252,Vao,45,EE,60,59.1,26.19,287.487,6.83
253,Yeppoon,20,AU,60,-23.13,150.74,295.15,8.2
254,Adrar,0,DZ,8,27.87,-0.29,308.15,3.6
255,Mount Gambier,75,AU,62,-37.83,140.78,288.15,6.7
256,Filingue,0,NE,33,14.35,3.32,307.557,4.19
257,Kandalaksha,14,RU,88,67.15,32.41,278.407,3.18
258,East London,0,ZA,26,-33.02,27.91,289.867,2.66
259,Aklavik,40,CA,36,68.22,-135.01,290.15,1.5
260,Haukipudas,0,FI,50,65.17,25.5,285.15,7.2
261,San Patricio,51,PY,87,-26.98,-56.83,290.787,4.47
262,Keetmanshoop,0,NA,20,-26.57,18.15,291.15,4.1
263,Maceio,0,BR,83,-9.67,-35.74,295.15,1.0
264,Rio Grande,0,BR,100,-32.03,-52.1,284.15,2.1
265,Den Helder,90,NL,82,52.96,4.76,288.71,4.1
266,Hammerfest,100,NO,86,70.66,23.68,277.15,14.9
267,Edd,85,ER,39,13.93,41.69,306.227,3.49
268,Chutove,38,UA,95,49.72,35.17,289.707,5.21
269,Poso,95,ID,91,-1.4,120.75,292.657,1.26
270,Busko-Zdroj,16,PL,76,50.47,20.72,290.37,0.89
271,Porto Belo,40,BR,93,-27.15,-48.54,293.15,2.6
272,Puerto Colombia,75,CO,78,10.99,-74.96,301.15,4.6
273,Invermere,100,CA,85,50.51,-116.03,287.59,1.79
274,Faanui,46,PF,77,-16.48,-151.75,299.587,4.29
275,Kraslava,80,LV,94,55.9,27.16,283.777,5.23
276,Tautira,40,PF,69,-17.73,-149.15,301.15,7.2
277,Norman Wells,75,CA,30,65.28,-126.83,295.15,4.1
278,Merauke,86,ID,83,-8.49,140.4,299.497,10.93
279,Baia de Aries,56,RO,93,46.38,23.28,290.37,0.5
280,Manavalakurichi,20,IN,88,8.13,77.3,300.15,2.6
281,Cabedelo,20,BR,88,-6.97,-34.84,296.15,1.5
282,Nyzhnya Duvanka,100,UA,88,49.58,38.17,291.647,4.69
283,Paamiut,0,GL,89,61.99,-49.67,278.067,5.77
284,Pereyaslovskaya,0,RU,73,45.84,39.02,289.887,3.44
285,Walvis Bay,0,NA,77,-22.95,14.51,288.15,2.1
286,Mapimi,75,MX,24,25.82,-103.85,308.15,3.1
287,Nantucket,90,US,93,41.28,-70.1,292.15,3.1
288,Igarka,100,RU,69,67.47,86.57,283.377,5.47
289,Haines Junction,72,CA,34,60.75,-137.51,292.597,1.31
290,Noumea,75,NC,83,-22.28,166.46,295.15,4.1
291,Skagen,17,SE,93,58.6,13.44,286.15,1.0
292,Mindyak,90,RU,76,54.02,58.79,285.15,2.0
293,Poum,0,MK,73,41.28,20.71,286.787,1.04
294,Saint-Augustin,75,CA,72,45.63,-73.98,297.59,6.11
295,Esil,99,KZ,70,51.96,66.41,285.027,3.55
296,Jinxiang,100,CN,90,35.07,116.31,300.37,4.55
297,Lakselv,100,NO,65,70.05,24.96,280.15,14.4
298,Te Anau,55,NZ,77,-45.41,167.72,281.037,2.21
299,Lake City,1,US,15,38.03,-107.32,300.15,4.1
300,Kudahuvadhoo,37,MV,68,2.67,72.89,301.567,2.12
301,Astana,75,KZ,100,51.13,71.43,281.15,5.0
302,Saint-Pierre,0,FR,82,48.95,4.24,297.15,4.1
303,Poltavka,86,RU,86,54.36,71.76,283.207,1.93
304,Comodoro Rivadavia,0,AR,74,-45.87,-67.48,272.15,4.6
305,Venado Tuerto,100,AR,76,-33.75,-61.97,282.04,2.24
306,Kalat,3,PK,30,29.03,66.58,290.527,0.99
307,Davila,75,PH,83,18.47,120.58,301.15,4.1
308,Toktogul,85,KG,69,41.87,72.95,282.587,1.81
309,Teruel,87,ES,48,40.34,-1.11,296.15,2.1
310,Morgan City,29,US,74,29.7,-91.21,305.15,2.16
311,Ulaanbaatar,75,MN,71,47.92,106.92,284.15,5.0
312,Grand-Santi,97,GF,93,4.27,-54.38,296.867,0.98
313,Kununurra,6,AU,28,-15.77,128.74,296.15,2.6
314,Gizo,40,IL,83,31.8,34.94,297.15,2.6
315,Kodinsk,0,RU,51,58.6,99.18,294.517,2.8
316,Bolshoy Kamen,90,RU,76,43.12,132.36,287.15,4.0
317,Provideniya,90,RU,81,64.42,-173.23,284.15,4.0
318,Correntina,0,BR,38,-13.34,-44.63,292.157,2.01
319,Dudinka,0,RU,70,69.41,86.18,282.15,6.0
320,Ilulissat,71,GL,80,69.22,-51.1,277.15,4.1
321,Gat,40,SN,88,14.69,-16.54,298.15,3.6
322,Pangnirtung,77,CA,50,66.15,-65.72,283.677,2.08
323,Atasu,84,KZ,89,48.68,71.64,286.657,5.69
324,Kungurtug,0,RU,85,50.6,97.53,282.867,0.4
325,Cordoba,0,AR,19,-27.78,-67.24,287.087,1.5
326,Ashdod,40,IL,83,31.8,34.65,297.15,2.6
327,Oskemen,39,KZ,82,49.96,82.61,290.15,0.57
328,Kruisfontein,0,ZA,19,-34.0,24.73,285.597,4.75
329,Faya,0,SA,15,18.39,42.45,296.15,2.1
330,Arlit,72,NE,18,18.74,7.39,308.957,1.78
331,Nouakchott,0,MR,73,18.08,-15.98,298.15,5.7
332,Brae,100,GB,93,60.4,-1.35,284.15,6.2
333,Cidreira,0,BR,88,-30.17,-50.22,288.787,5.21
334,San Cristobal,8,HN,59,14.68,-86.92,297.227,3.42
335,Gardez,0,AF,22,33.6,69.22,289.267,3.34
336,Nuoro,5,IT,88,40.32,9.33,297.15,2.1
337,Vila Franca do Campo,20,PT,77,37.72,-25.43,290.15,0.5
338,Yamethin,99,MM,84,20.43,96.14,298.207,7.27
339,Nemuro,75,JP,93,43.32,145.57,284.15,2.6
340,Tahara,75,JP,83,34.64,137.18,302.04,2.1
341,Novi Knezevac,0,RS,94,46.04,20.09,295.15,4.1
342,Lugovoy,99,RU,68,59.72,65.88,284.027,1.13
343,Khani,30,GE,100,41.96,42.96,296.15,1.5
344,Karratha,0,AU,62,-20.74,116.85,292.497,8.38
345,Black River,20,JM,74,18.03,-77.85,300.37,1.5
346,Hasaki,75,JP,88,35.73,140.83,299.26,1.0
347,Whitianga,22,NZ,68,-36.83,175.7,289.82,1.79
348,Alofi,28,NU,69,-19.06,-169.92,299.15,9.85
349,Barnbach,23,AT,88,47.03,15.85,295.15,1.0
350,Matara,55,BI,86,-3.48,29.48,283.227,0.52
351,Cobh,75,IE,77,51.85,-8.29,290.93,9.8
352,Bose,0,IT,47,45.46,8.01,303.15,3.1
353,San Andres,100,PH,78,13.32,122.68,301.507,6.01
354,Guayaramerin,0,BO,79,-10.82,-65.36,297.307,0.12
355,Chapleau,40,CA,33,47.85,-83.4,298.15,3.1
356,Verkhoshizhemye,0,RU,96,58.01,49.1,280.857,2.67
357,Ambositra,70,MG,93,-20.53,47.24,286.187,1.33
358,Wlodawa,0,PL,87,51.55,23.55,287.15,4.1
359,Trairi,14,BR,94,-3.28,-39.27,295.427,1.52
360,Algiers,75,US,70,29.94,-90.04,306.15,5.1
361,Tondano,20,ID,55,1.3,124.91,303.15,4.6
362,Kirakira,100,SB,78,-10.46,161.92,299.987,2.51
363,Broken Hill,40,AU,55,-31.97,141.45,290.15,8.7
364,Tupik,68,RU,78,54.43,119.94,287.567,0.77
365,Batagay,42,RU,32,67.65,134.64,298.187,5.17
366,Mandali,0,IQ,12,33.75,45.55,307.047,2.91
367,Labuhan,34,ID,79,-2.54,115.51,298.197,0.61
368,Aksay,100,KZ,61,51.17,53.01,289.967,3.23
369,Agua Buena,0,MX,13,29.88,-109.91,310.097,6.09
370,Peace River,75,CA,35,56.23,-117.29,296.15,4.1
371,West Wendover,1,US,9,40.74,-114.07,306.15,10.3
372,Corrente,56,BR,55,-17.45,-44.68,295.007,1.38
373,Meulaboh,60,ID,79,4.14,96.13,300.367,3.98
374,Pingshan,100,CN,87,28.83,104.35,293.727,1.8
375,Dubbo,0,AU,62,-32.25,148.6,288.15,5.1
376,Slave Lake,90,CA,49,55.28,-114.77,293.15,4.1
377,Talaya,0,RU,68,55.79,84.89,294.15,2.0
378,Villa Guerrero,94,MX,57,21.98,-103.59,295.857,2.28
379,Gimli,12,CA,29,50.63,-96.99,298.71,2.77
380,Hamilton,75,CA,39,43.26,-79.87,301.15,1.0
381,Matay,0,EG,53,28.42,30.79,299.227,6.59
382,Riyadh,0,SA,9,24.63,46.72,305.15,2.1
383,Luanda,0,AO,88,-8.83,13.24,293.15,1.5
384,Dzilam Gonzalez,36,MX,85,21.28,-88.93,300.067,10.39
385,Oussouye,0,SN,74,12.49,-16.54,301.15,3.1
386,Bubaque,5,GW,84,11.28,-15.83,300.297,7.04
387,Batagay-Alyta,55,RU,41,67.8,130.41,292.837,2.37
388,Mahebourg,75,MU,88,-20.41,57.7,295.15,5.1
389,Khonsa,86,IN,96,26.99,95.51,294.067,1.51
390,Ochando,0,ES,37,41.05,-4.44,297.04,2.27
391,Kitimat,75,CA,23,54.02,-128.69,302.15,4.6
392,Sur,0,OM,64,22.57,59.53,302.517,6.43
393,Beliu,19,RO,100,46.49,21.99,292.15,1.0
394,Churachandpur,100,IN,95,24.33,93.67,294.587,0.41
395,Olutanga,90,PH,72,7.31,122.85,301.857,3.58
396,Agaro,11,ET,96,7.86,36.59,285.757,1.74
397,Jiexiu,88,CN,60,37.02,111.92,293.567,4.89
398,Zyryanka,79,RU,35,65.73,150.89,290.307,9.56
399,Lieksa,50,FI,96,63.32,30.02,280.857,3.52
400,Fort Nelson,75,CA,63,58.81,-122.69,289.15,2.1
401,Serra Talhada,61,BR,87,-7.99,-38.29,294.287,5.88
402,Itacoatiara,67,BR,81,-3.14,-58.44,298.447,0.8
403,Zhigansk,73,RU,62,66.77,123.37,292.557,6.8
404,Sao Filipe,0,CV,86,14.9,-24.5,296.717,7.96
405,Masallatah,0,LY,73,32.62,14.0,296.537,1.3
406,Makokou,0,GA,82,0.56,12.85,293.437,1.08
407,Jammu,0,IN,28,32.72,74.86,300.007,2.3
408,Massakory,34,TD,48,13.0,15.73,301.637,3.06
409,Pimentel,100,BR,95,-3.7,-45.5,296.577,0.48
410,Zenzeli,0,RU,47,45.92,47.05,298.897,4.85
411,Coquimbo,90,CL,81,-29.95,-71.34,285.15,2.1
412,Axim,89,GH,89,4.87,-2.24,297.957,3.88
413,Hirara,40,JP,83,24.8,125.28,303.15,8.2
414,Kostomuksha,36,RU,96,64.59,30.6,279.657,2.35
415,Qasigiannguit,78,GL,80,68.82,-51.19,277.15,4.1
416,Khash,0,IR,16,28.22,61.21,292.697,3.0
417,Topeka,1,US,55,39.05,-95.68,305.15,4.1
418,Verkhnyaya Inta,47,RU,72,65.99,60.32,283.907,2.83
419,Ponazyrevo,0,RU,93,58.36,46.31,279.567,2.28
420,Namatanai,87,PG,74,-3.66,152.44,300.997,4.15
421,Iqaluit,40,CA,62,63.75,-68.52,284.15,1.5
422,Mayumba,1,GA,82,-3.44,10.65,296.087,6.63
423,Jacareacanga,7,BR,64,-6.22,-57.76,298.827,0.89
424,Kirovskiy,97,RU,79,45.09,133.51,290.897,2.9
425,Tateyama,75,JP,94,36.66,137.31,297.59,2.6
426,Acajutla,83,SV,62,13.59,-89.83,303.237,0.74
427,Amapa,40,HN,74,15.09,-87.97,302.15,5.1
428,Turukhansk,100,RU,94,65.8,87.96,283.247,5.13
429,Melur,20,IN,69,10.03,78.34,300.15,3.19
430,Surgut,40,RU,100,61.25,73.4,283.15,4.0
431,Laharpur,1,IN,32,27.71,80.9,305.287,0.79
